Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1530,73824,15392,130624,6831776
1531,71776,17056,131200,7044992
1532,72128,15104,126688,6827808
1533,71808,15328,130912,6828512
1534,71456,15200,125248,6826912
1535,71072,15136,113984,6823456
1536,71968,19264,115136,6826240
1537,72480,15136,111904,7022624
1538,72096,15296,131840,7032032
1539,71360,15328,118496,6826144
1540,71328,15168,114656,6826592
1541,71296,15264,116000,7035936
1542,72384,15200,114336,6822080
1543,71360,15168,129824,6816448
1544,72224,15008,131456,7032352
1545,71840,15040,126336,6836448
1546,71744,15072,114880,6822624
1547,72032,14944,130944,6825888
1548,75008,15008,115648,6832992
1549,71232,15168,114240,6817952
1550,72480,16512,114208,6824256
1551,71648,15072,131328,6823520
1552,72416,15136,115072,6818944
1553,70944,15072,128832,6813376
1554,72192,14976,113760,6816192
1555,71872,15040,116128,6811904
1556,72608,14784,131520,6818848
1557,71776,14880,129696,6828864
1558,71872,15008,130976,6826304
1559,71392,14912,113184,6820224
1560,71744,14816,131616,6819552
1561,71872,15008,120512,7035520
1562,71424,14688,114528,7024480
1563,71808,14816,112864,6802944
1564,71520,15456,113632,6982272
1565,71488,15008,114080,6755296
1566,72096,14848,128448,6728096
1567,71744,14880,114848,6924416
1568,72000,14816,129568,6921888
1569,72320,14784,131168,6903008
1570,71808,15104,120800,6690560
1571,71840,14816,115232,6678528
1572,71936,15072,113184,6670432
1573,71488,15072,113856,6674016
1574,72352,15008,131840,6671712
1575,71616,15040,116480,6671840
1576,71264,14912,114720,6680800
1577,71200,15264,128192,6678016
1578,72128,16896,123392,6714592
1579,72064,14944,114400,6716672
1580,72320,14912,125856,6949088
1581,71200,15520,125472,6965920
1582,71872,15072,122016,6967520
1583,72320,14880,130336,7024160
1584,71200,14976,123968,6807424
1585,71520,14816,124800,6829664
1586,71168,15008,111936,7064416
1587,71872,14912,125728,6864000
1588,71328,16480,115008,6908224
1589,72384,15232,113824,6909568
1590,71136,15104,129984,6933312
1591,71904,14880,113152,6964480
1592,72096,15488,122080,6964832
1593,71552,15008,123776,7016192
1594,71008,14944,123360,7019616
1595,71712,15264,123616,7645024
1596,71456,15168,115040,7463744
1597,71648,15584,115232,7464288
1598,73760,14944,111584,7463168
1599,71776,15040,114848,7463456
1600,71968,14784,114592,7461376
1601,72160,14912,114752,7670688
1602,72384,14816,116992,7454656
1603,71520,14848,116160,7655808
1604,72128,16384,130272,7645792
1605,71104,15136,130048,7633280
1606,71456,14944,120224,7659520
1607,71744,14848,123584,7655776
1608,71648,14976,116192,7665280
1609,71648,14816,114400,7636128
1610,71584,14912,113568,7644800
1611,71296,17184,113312,7645408
1612,71488,15232,116032,7432736
1613,71392,14944,114816,7639072
1614,71968,14816,113920,7638336
1615,71616,15008,113920,7430400
1616,71712,15360,128864,7439264
1617,71776,15328,132000,7634688
1618,71232,14880,122112,7642080
1619,72160,15104,119680,7629344
1620,72480,14976,113856,7629216
1621,71840,15552,114048,7628256
1622,71168,14720,115520,7644768
1623,72224,15072,113760,7636608
1624,71872,15168,114944,7634720
1625,71232,16800,114336,7639072
1626,71520,15072,116480,7635136
1627,71296,15264,120224,7633600
1628,71072,15776,117856,7638400
1629,71712,15168,131328,7639584
1630,72800,15488,125248,7637760
1631,71392,15392,127200,7414048
1632,71968,17632,118400,7424352
1633,71264,14976,116608,7422656
1634,71744,15200,114080,7422720
1635,71200,14912,121920,7436384
1636,71488,15552,114016,7430752
1637,70528,14912,115488,7651360
1638,72096,15168,114208,7430304
1639,71328,15520,130048,7411040
1640,69984,15008,113440,7395328
1641,72448,15872,114688,7375616
1642,71904,15168,130848,7561920
1643,72800,15072,126112,7540864
1644,71616,14912,115680,7525696
1645,71296,15328,113120,7309120
1646,72000,14848,114048,7294208
1647,71008,15040,125312,7297632
1648,72128,15264,114304,7276096
1649,72256,14752,115232,7487744
1650,72736,15136,129888,7284352
1651,71392,16768,115488,7283008
1652,71072,16480,114784,7287424
1653,71008,15040,125920,7291328
1654,72448,15136,131360,7536480
1655,71680,15200,124992,7527776
1656,70880,17664,114464,7233504
1657,71328,14848,119200,7371008
1658,71392,14816,115776,7368448
1659,71008,14944,114272,7412032
1660,72192,15008,115392,7420416
1661,72352,15296,122016,7643552
1662,72064,15392,115456,7424960
1663,71424,15264,129440,7429728
1664,72608,15072,128064,7435456
1665,72096,15040,128992,7436608
1666,72320,15680,120352,7650368
1667,71680,15040,132032,7434624
1668,72000,15296,122080,7434720
1669,72064,15296,114272,7435296
1670,73120,15200,113152,7644032
1671,71616,15008,118496,7648704
1672,72352,15136,115392,7428224
1673,72640,15008,124576,7450176
1674,71968,15072,117120,7434208
1675,71392,16544,115904,7425472
1676,71328,14912,117376,7431488
1677,72064,15264,127552,7439232
1678,71168,15040,126144,7431072
1679,72288,15200,133664,7434400
1680,70816,14816,131328,7437728
1681,71936,15072,117120,7436736
1682,71168,16800,115904,7421504
1683,71328,15104,114944,7433984
1684,71808,14976,115264,7428736
1685,72032,14816,116416,7633664
1686,72224,15200,130080,7418784
1687,71040,14816,123168,7414240
1688,71840,14976,117184,7431936
1689,71904,15072,114976,7429184
1690,71936,15072,130016,7431040
1691,72608,15168,129760,7446848
1692,72384,15296,121024,7430272
1693,71456,14944,113696,7430624
1694,71264,14976,114624,7427456
1695,71232,14944,117312,7435072
1696,71904,15328,115904,7333344
1697,72224,14912,132416,7430048
1698,71616,14880,114208,7424896
1699,71520,14784,115104,7333312
1700,72672,14912,119616,7439200
1701,72288,16160,115616,7334656
1702,71552,17216,113792,7422816
1703,72736,14816,115424,7331808
1704,72256,14976,125824,7446240
1705,71936,16448,129152,7428512
1706,71424,14976,117888,7641472
1707,70912,15104,115008,7646720
1708,72160,14752,116416,7632192
1709,72224,15072,114336,7428448
1710,72096,15392,130048,7436256
1711,71328,15712,114176,7425376
1712,71680,14784,126464,7437088
1713,71904,15104,116800,7428192
1714,72096,15136,125696,7421056
1715,71328,17664,114592,7325184
1716,72224,15008,114496,7321472
1717,71520,15008,115520,7650560
1718,71552,15008,114528,7439264
1719,72256,14880,114304,7650688
1720,72224,15360,123008,7434848
1721,71776,15488,115776,7634464
1722,71296,17056,114720,7640288
1723,72224,17120,123648,7443872
1724,72480,15040,113632,7430112
1725,71392,15168,118528,7425504
1726,72384,14976,130528,7643744
1727,71968,15392,131616,7635072
1728,70976,15072,122912,7439872
1729,72224,15040,129504,7434016
1730,72576,14752,113152,7422656
1731,72224,16544,114976,7638144
1732,72064,15200,113920,7415424
1733,72160,17536,128448,7422240
1734,72288,14784,122272,7386368
1735,71360,15168,114976,7277600
1736,71744,16704,132416,7366208
1737,72256,14880,115872,7342496
1738,71328,16704,121408,7539328
1739,71872,15520,125760,7314208
1740,71360,17792,114016,7204128
1741,71040,14976,115168,7191072
1742,70432,17248,115520,7188768
1743,71328,17600,119968,7279616
1744,71040,15040,115520,7283296
1745,71968,15328,116704,7494304
1746,72544,15008,124352,7284288
1747,71232,14976,115200,7284608
1748,72448,15008,115008,7279648
1749,72352,15136,113280,7528704
1750,72800,14784,125056,7323328
1751,72352,15584,118208,7349248
1752,72256,14976,129344,7572704
1753,71296,15200,131264,7364704
1754,71808,15040,114336,7326272
1755,71552,15008,113792,7416736
1756,71392,15008,116608,7448352
1757,72128,15008,130912,7674912
1758,71424,15136,114112,7462784
1759,72064,14976,124640,7519904
1760,72416,14784,114400,7520640
1761,71808,15072,125440,7549184
1762,72096,14784,115904,7564736
1763,71840,14752,120960,7777312
1764,72512,15168,113952,7523584
1765,71680,15264,116000,7524480
1766,72512,14528,114496,7955616
1767,71680,16256,121536,8070656
1768,72320,14752,125664,8070688
1769,71168,15328,114048,8065888
1770,73536,14944,124640,8069376
1771,72384,15264,112928,8064928
1772,71936,14976,114624,8271712
1773,71232,16672,119424,8059776
1774,70976,15328,129856,8041952
1775,71872,14880,121184,8248640
1776,71488,17152,114496,8046464
1777,72384,14880,116288,8040640
1778,71392,15072,118368,8030048
1779,72288,14976,115232,8048384
1780,71904,15168,127776,8028576
1781,71968,15008,113056,8028384
1782,71072,15232,119776,8246304
1783,70784,15200,123264,8033696
1784,72512,14944,116768,8039136
1785,72000,15200,124864,8039072
1786,71968,14944,116064,8028096
1787,70752,15072,130240,8237696
1788,71296,14880,126560,8242080
1789,71712,15072,117696,8257536
1790,72224,14912,115264,8240736
1791,71360,14912,114592,8238240
1792,72000,14816,113664,8248160
1793,71328,15008,130016,8245664
1794,71072,14816,115232,8042880
1795,71424,15104,114400,8041504
1796,72032,15072,114912,8241344
1797,72384,15040,122752,8037632
1798,70240,14816,132032,8030304
1799,71680,15072,124544,8256128
1800,71520,15008,130816,8041472
1801,72128,15104,120608,8036256
1802,72160,14784,114368,8031616
1803,71232,15136,114240,8052800
1804,72736,15296,114080,8054688
1805,72032,17408,113024,8040832
1806,72768,14720,123200,8047776
1807,72352,14848,112928,8270816
1808,71648,14976,123904,8249728
1809,72128,15104,113120,8249024
1810,72064,17184,129472,8044384
1811,72096,14880,129472,8036192
1812,72416,16864,123200,8048544
1813,73056,16736,121248,8045056
1814,71968,14976,127872,8038272
1815,71872,15584,113120,8052608
1816,72256,14848,111616,8042176
1817,72160,15072,128640,8250496
1818,72416,15360,113856,8039744
1819,71776,15040,113632,8275584
1820,72160,14720,114624,8034624
1821,70784,15072,114528,8235200
1822,72288,15040,114688,8272480
1823,72352,14976,123072,8272832
1824,72096,17120,129120,8250304
